id,address,capacity,latitude,longitude,parking_type
opendata_ruhver_parkseiten_line.99,Clemensstr.,14.0,48.16392594288521,11.580461091547793,Parkplatz
opendata_ruhver_parkseiten_line.100,Destouchesstr.,17.0,48.16501599102998,11.570631730159219,Parkplatz
opendata_ruhver_parkseiten_line.101,Destouchesstr.,12.0,48.16488922063407,11.571785015058259,Parkplatz
opendata_ruhver_parkseiten_line.102,Destouchesstr.,11.0,48.16479963064729,11.571801028503062,Parkplatz
opendata_ruhver_parkseiten_line.103,Regerpl.,11.0,48.12413240415971,11.58763805297927,Parkplatz
opendata_ruhver_parkseiten_line.104,Ohlmüllerstr.,7.0,48.12590422528625,11.578770925092334,Parkplatz
opendata_ruhver_parkseiten_line.105,Eduard-Schmid-Str.,12.0,48.12610569486929,11.57776939815186,Parkplatz
opendata_ruhver_parkseiten_line.106,Boosstr.,14.0,48.125560127863835,11.5777604378715,Parkplatz
opendata_ruhver_parkseiten_line.107,Boosstr.,8.0,48.12561910230384,11.577535332813325,Parkplatz
opendata_ruhver_parkseiten_line.108,Hiltenspergerstr.,8.0,48.1674625662768,11.566790633092301,Parkplatz
opendata_ruhver_parkseiten_line.109,Adelheidstr.,6.0,48.15883033091556,11.56795765515534,Parkplatz
opendata_ruhver_parkseiten_line.110,Adelheidstr.,10.0,48.158062092960336,11.567764071271984,Parkplatz
opendata_ruhver_parkseiten_line.111,Elisabethstr.,17.0,48.15844786615808,11.571146056014797,Parkplatz
opendata_ruhver_parkseiten_line.112,Elisabethstr.,15.0,48.1587872350292,11.56987634778142,Parkplatz
opendata_ruhver_parkseiten_line.113,Elisabethstr.,12.0,48.159101811576356,11.568379444919557,Parkplatz
opendata_ruhver_parkseiten_line.114,Elisabethstr.,11.0,48.15929291372383,11.567280288335857,Parkplatz
opendata_ruhver_parkseiten_line.115,Elisabethstr.,15.0,48.15916316501595,11.567291239036642,Parkplatz
opendata_ruhver_parkseiten_line.116,Elisabethstr.,9.0,48.15895118262371,11.568506190870469,Parkplatz
opendata_ruhver_parkseiten_line.117,Elisabethstr.,20.0,48.159401166018014,11.565815563724106,Parkplatz
opendata_ruhver_parkseiten_line.118,Elisabethstr.,20.0,48.159538562565224,11.565735912500298,Parkplatz
opendata_ruhver_parkseiten_line.119,Thiemestr.,18.0,48.156868618120946,11.587473214702035,Parkplatz
opendata_ruhver_parkseiten_line.120,Martiusstr.,7.0,48.15694405021487,11.58564787887926,Parkplatz
opendata_ruhver_parkseiten_line.121,Kaulbachstr.,9.0,48.15737180511819,11.586633465885097,Parkplatz
