FID,angebot,parkregel_gruppe,parkregel_name,prm_name,strasse,geoportal_class,center_lon,center_lat
opendata_ruhver_parkseiten_line.2151,6.0,Mischparken,M 9-23,Barbarastraße,Kathi-Kobus-Str.,Mischparken,11.556348358250979,48.159184881557174
opendata_ruhver_parkseiten_line.2152,0.0,Mischparken,"M 9-18, Bew 18-23",Barbarastraße,Barbarastr.,Mischparken,11.557033687516363,48.16118858103599
opendata_ruhver_parkseiten_line.2153,14.0,Mischparken,"M 9-18, Bew 18-23",Barbarastraße,Kathi-Kobus-Str.,Mischparken,11.558233011868392,48.160297695950234
opendata_ruhver_parkseiten_line.2154,6.0,Kurzzeitparken,"KZP 2h 9-18, M 18-23",West Schwabing,Schleißheimer Str.,Kurzzeitparken,11.56302382813709,48.159173357129845
opendata_ruhver_parkseiten_line.2155,6.0,Kurzzeitparken,"KZP 2h 9-18, M 18-23",West Schwabing,Schleißheimer Str.,Kurzzeitparken,11.56283230464811,48.15856907934379
opendata_ruhver_parkseiten_line.2156,10.0,Mischparken,"M 9-18, Bew 18-23",TU-Viertel,Neureutherstr.,Mischparken,11.568968436129978,48.15583284585595
opendata_ruhver_parkseiten_line.2157,7.0,Mischparken,"M 9-18, Bew 18-23",TU-Viertel,Neureutherstr.,Mischparken,11.569748678103885,48.155622048653115
opendata_ruhver_parkseiten_line.2158,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Barbarastraße,Theo-Prosel-Weg,Absolutes Halteverbot,11.5592108192042,48.159898176609985
opendata_ruhver_parkseiten_line.2159,4.0,Bewohnerparken,Bew 9-23,Südliche Au,Taubenstr.,Bewohnerparken,11.580099159941158,48.12136629736219
opendata_ruhver_parkseiten_line.2160,1.0,Behindertenparken,Beh 0-24,Südliche Au,Entenbachstr.,Behindertenparken,11.578245704939928,48.12309079067841
opendata_ruhver_parkseiten_line.2161,1.0,Behindertenparken,Beh 0-24,Südliche Au,Schlotthauerstr.,Behindertenparken,11.578377540975055,48.12319338008953
opendata_ruhver_parkseiten_line.2162,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Schönfeldviertel,Professor-Huber-Pl.,Absolutes Halteverbot,11.581759565977098,48.150206641261136
opendata_ruhver_parkseiten_line.2163,4.0,Absolutes Halteverbot temporär,"AHV 6:30-8:30, AHV 16-19, EHV 8:30-16, EHV 19-6:30",Untersendling,Implerstr.,Absolutes Halteverbot (auch temporär),11.548401416846533,48.11895681998959
opendata_ruhver_parkseiten_line.2164,19.0,Mischparken,M 9-23,Untersendling,Implerstr.,Mischparken,11.548421811653913,48.11833940077634
